"Real","PiMLE","MLE","MoS","KLN","GNSUM","Overd.","TPC","RoA","AoR"
503,NA,303.024372230428,NA,309.515680471686,320.960886571056,1772.90426894308,332.789785828512,317.28488372093,475.812518628336
503,NA,676.630935456355,NA,710.258002608482,955.707228915663,1205.29452574111,699.127535676855,691.099126637555,614.675873440228
503,NA,490.820186915888,NA,509.341656015687,393.8832,1971.76036903174,535.006877241971,479.762637362637,371.123048053941
503,NA,544.497658079625,NA,545.02581178475,548.493971166448,799.626347927951,585.688564779106,583.852108244179,314.718886599196
503,NA,379.632384341637,NA,390.168831131998,299.093551401869,3272.39189723424,421.773138390615,364.006670087224,458.434885869442
503,NA,587.460813865863,NA,597.34278884609,601.97722007722,776.166145491513,621.640881341648,575.728484175458,481.823714570083
503,NA,346.803315994798,NA,347.194302230184,348.237323177367,1781.56698064371,377.285896848835,377.969632392115,400.162808652623
503,NA,503.917582417582,NA,498.48901927658,461.278402366864,2303.14360580694,535.574043114564,538.0835495589,505.406596551267
503,NA,550.892294220665,NA,567.338358101945,627.724057649667,2498.51542804264,565.682188204014,546.918954248366,630.301754399145
503,NA,646.365198711063,NA,647.513627390329,579.86017130621,972.591910674604,671.339351834615,697.216027874564,967.155790655887
503,NA,610.005494505495,NA,641.202889649472,544.953897978826,1022.67286178309,623.606491206227,604.032242540905,536.164213900953
503,NA,655.597869507324,NA,683.666635005505,582.667455621302,2061.52709109597,663.937093050522,672.357289527721,655.381210863669
503,NA,427.219463356027,NA,427.933697911116,266.026683291771,1630.3598278341,453.146972576688,449.302723242559,265.757164015233
503,NA,630.447141979103,NA,657.563450814766,723.199177438308,1095.64798548499,652.016948967583,637.237272302662,498.599716355835
503,NA,390.292508917955,NA,386.452447660095,263.761071428571,2864.51116818395,422.913234970346,413.431818181818,395.836724942545
503,NA,569.261186264308,NA,595.655942021845,502.402040816327,1724.21624658766,594.851753579622,564.937888198758,397.815807498614
503,NA,467.72070930969,NA,479.499053580679,796.975899280576,3094.66309444604,503.791807951392,467.101283880171,383.386929203241
503,NA,492.354,NA,494.213118367794,327.363031914894,3248.87084771466,525.861675571237,519.742857142857,450.541790350083
503,NA,572.565176022835,NA,601.745398812794,611.965423728814,1958.90114164291,595.168787582012,601.204807210816,379.33434856932
503,NA,494.857396239801,NA,501.318775221783,587.782162921348,1441.96184148126,520.54552114402,517.135451505017,456.897131229484
503,NA,764.334947839046,NA,799.29788802619,804.5,5076.7289921598,801.374735993415,758.379655364091,586.932887168208
503,NA,485.556213017751,NA,514.434983132882,404.305291970803,806.900895549553,509.551558232659,473.861070911722,450.338116712982
503,NA,353.267527675277,NA,365.703677690301,531.863888888889,3137.27528407254,382.408761805666,358.864255519023,352.994851920817
503,NA,279.112244897959,NA,284.199792203089,318.332327586207,724.188894340208,302.022014928145,293.228059701493,145.126750924163
503,NA,532.037757437071,NA,551.823099258638,498.215357142857,3872.83389151994,570.169507171985,542.221507890123,263.704151185025
503,NA,621.454395785314,NA,662.38314611948,663.783235638921,1419.06139330234,642.95436760086,626.649525711433,800.649176749325
503,NA,294.022475570033,NA,301.203024735361,313.419791666667,513.00389652276,318.55165456684,294.410495340853,377.136640792076
503,NA,568.319353597538,NA,606.085031764263,539.730328867235,1161.83661067279,599.412034471238,550.624439461883,692.702977964724
503,916.033665165201,637.528301886793,1124.97355331169,636.85362356116,495.658389261745,1666.24384761173,662.461302142597,683.38282647585,928.427876418007
503,NA,457.312434691745,NA,455.48440347332,375.126857142857,1015.7724553896,477.041939548417,503.557093425606,339.186991874553
