"Real","PiMLE","MLE","MoS","KLN","GNSUM","Overd.","TPC","RoA","AoR"
539,NA,1381.57282693814,NA,1372.04979575718,554.220471204188,1827.51816332949,1400.5741483205,1364.325,640.593433868733
539,NA,2083.42078537576,NA,2056.01571584936,907.286240786241,2353.78695622616,2117.48011773243,2011.28992628993,1560.3964185273
539,NA,1569.08682170543,NA,1534.61843433814,393.287953367876,6751.75074757749,1608.48544577164,1530.85746777862,911.32570115361
539,NA,1299.08707124011,NA,1295.76008587241,344.437310532452,4555.05158825686,1322.44327491869,1323.87331536388,767.245581766272
539,NA,1237.35298149417,NA,1226.2028601804,499.621217712177,1887.96845016796,1256.4893995854,1251.28295987493,820.833003408526
539,NA,1219.6269054878,NA,1191.56895928367,385.114440433213,1438.24634459869,1257.17388033485,1228.12867859204,591.578647012062
539,NA,1326.58891454965,NA,1329.17679617224,348.716155143339,2061.37939009051,1341.1126192337,1320.31451612903,822.669871118706
539,NA,1638.3057793345,NA,1622.55039127495,687.8475,2271.89962849549,1701.27024087914,1667.02090032154,952.443072157054
539,675.477617683815,933.424556707929,677.648576690375,907.585809272442,330.438926174497,2703.04937398159,965.681118056169,924.966101694915,575.822748182838
539,1172.20117733094,1856.01357082273,1205.49772240166,1811.50031134752,856.267826086957,3088.36707727869,1873.05213943576,1859.3867120954,1155.99634976501
539,NA,1679.40084685956,NA,1685.23100737293,557.744765625,1659.31733879189,1720.64715624429,1683.63510638298,1232.38281087883
539,1203.0397377731,1655.52790854069,1220.55168777463,1649.70863430255,749.777664974619,2945.00863104575,1701.74204689599,1656.23672230653,1271.67916474035
539,NA,1370.07921847247,NA,1366.43521736628,703.362857142857,1593.83010680838,1370.92588995536,1346.42047244094,877.521626734274
539,NA,1705.05970149254,NA,1680.54640297142,938.698549946294,1824.63319394051,1707.52638736595,1715.22045152722,1091.01488805608
539,NA,1196.28959810875,NA,1175.78709622635,462.362893401015,3574.27892967228,1247.42495809293,1176.00524170064,630.814163673831
539,797.53224864238,1285.29585798817,758.619237022239,1280.56819122182,461.197543713572,3710.90173583827,1327.10431319086,1271.1102484472,826.861510938662
539,NA,1469.71343283582,NA,1439.57538553503,667.347289156627,1704.22845378818,1496.79465837644,1477.90471414243,921.362766424809
539,NA,1401.52006831768,NA,1387.85083221067,483.648330058939,1654.63188082475,1432.91657796803,1360.92269326683,1424.06551365378
539,NA,1736.38161255016,NA,1764.9579257779,720.76052498738,2340.31970767218,1747.75473782604,1728.69142545057,1112.10269550244
539,633.409391899999,1178.31406480118,616.52296009717,1175.40051782578,398.874241794765,3479.2719701638,1195.9141059803,1179.13961218837,617.613185697968
539,NA,1841.88157894737,NA,1852.60596425906,743.272566371681,2058.03512076668,1871.64759493061,1765.32849972114,1425.58924290922
539,NA,1499.32115249473,NA,1489.51713417762,547.293886276186,1979.3613983555,1526.90204681324,1512.68443496802,831.58608239688
539,NA,1099.72644856129,NA,1097.838672875,362.025,1849.3545802684,1125.08013633068,1092.74558303887,842.344381706039
539,545.515193380516,1063.39956803456,568.745859044144,1083.33657875533,469.156802541027,1600.93923379812,1089.88439759396,1080.05937328202,543.044448692215
539,NA,1256.00510204082,NA,1276.66808347213,439.601785714286,2069.40704708851,1278.89257221353,1279.0546875,742.501932162162
539,NA,1723.92857142857,NA,1772.73956265145,541.048351648352,2061.48450996025,1757.80854627288,1737.07161803714,1286.8615782966
539,NA,1655.83824015878,NA,1633.56156168716,812.59724025974,2631.11331311829,1667.50237635178,1658.6711509716,877.751994350563
539,NA,1176.14884233738,NA,1190.9484174633,417.067897480452,1430.66248063243,1214.69052827173,1185.04844097996,918.107152339505
539,1124.41575006165,2376.45525629887,1096.23474459521,2328.18344809056,1226.59192825112,4216.37095501827,2413.1762158203,2356.34715025907,1125.54395059659
539,988.915400264655,1407.02911679068,1032.26420994319,1419.43447062325,698.094221508828,1795.51281087372,1420.94046483515,1417.13326800588,1043.69884063846
539,1061.80577774857,1298.2307185234,1094.5162423467,1263.24534443804,541.544271310724,1546.3404733234,1341.31602213788,1338.5304036791,1033.26158406411
539,NA,949.898805078417,NA,952.056099775303,365.84309683605,4392.71033169757,998.332181784428,968.936426116838,598.275080595975
539,NA,1147.09137401978,NA,1145.20880313163,525.964408546118,1474.12128820391,1174.20826325723,1132.33451417004,875.152698316505
539,NA,809.07622298066,NA,799.06446510889,275.888017241379,1198.21772388402,831.171538201423,802.090446579989,500.78060379364
539,NA,2002.10795454545,NA,1962.17391165349,1025.7375,3545.03860057245,2012.15455841376,2010.00454086781,1067.48532114561
